sentence,word,label
Mujhe laga tha ke tum time pe aao gay,tha,URD
Mujhe laga tha ke tum time pe aao gay,ke,URD
Mujhe laga tha ke tum time pe aao gay,tum,URD
Mujhe laga tha ke tum time pe aao gay,time,ENG
Mujhe laga tha ke tum time pe aao gay,pe,URD
Mujhe laga tha ke tum time pe aao gay,aao,URD
Mujhe laga tha ke tum time pe aao gay,gay,URD
Yaar please thora sabar kar lo abhi busy hoon,Yaar,URD
Yaar please thora sabar kar lo abhi busy hoon,please,ENG
Yaar please thora sabar kar lo abhi busy hoon,thora,URD
Yaar please thora sabar kar lo abhi busy hoon,sabar,URD
Yaar please thora sabar kar lo abhi busy hoon,kar,URD
Yaar please thora sabar kar lo abhi busy hoon,lo,URD
Yaar please thora sabar kar lo abhi busy hoon,abhi,URD
Yaar please thora sabar kar lo abhi busy hoon,busy,ENG
Yaar please thora sabar kar lo abhi busy hoon,hoon,URD
I don't know yaar kya karna hai ab,I,ENG
I don't know yaar kya karna hai ab,don't,ENG
I don't know yaar kya karna hai ab,know,ENG
I don't know yaar kya karna hai ab,yaar,URD
I don't know yaar kya karna hai ab,kya,URD
I don't know yaar kya karna hai ab,karna,URD
I don't know yaar kya karna hai ab,hai,URD
I don't know yaar kya karna hai ab,ab,URD
Subha se meeting attend kar rahi hoon nonstop,Subha,URD
Subha se meeting attend kar rahi hoon nonstop,se,URD
Subha se meeting attend kar rahi hoon nonstop,meeting,ENG
Subha se meeting attend kar rahi hoon nonstop,attend,ENG
Subha se meeting attend kar rahi hoon nonstop,kar,URD
Subha se meeting attend kar rahi hoon nonstop,rahi,URD
Subha se meeting attend kar rahi hoon nonstop,hoon,URD
Subha se meeting attend kar rahi hoon nonstop,nonstop,ENG
Mujhe bharosa nahi tha ke ye deal ho jayegi,Mujhe,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,bharosa,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,nahi,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,tha,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,ke,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,ye,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,deal,ENG
Mujhe bharosa nahi tha ke ye deal ho jayegi,ho,URD
Mujhe bharosa nahi tha ke ye deal ho jayegi,jayegi,URD
Chill karo yaar itna stress nahi lena chahiye,Chill,ENG
Chill karo yaar itna stress nahi lena chahiye,karo,URD
Chill karo yaar itna stress nahi lena chahiye,yaar,URD
Chill karo yaar itna stress nahi lena chahiye,itna,URD
Chill karo yaar itna stress nahi lena chahiye,stress,ENG
Chill karo yaar itna stress nahi lena chahiye,nahi,URD
Chill karo yaar itna stress nahi lena chahiye,lena,URD
Chill karo yaar itna stress nahi lena chahiye,chahiye,URD
Traffic itni zyada thi that I got super late,Traffic,ENG
Traffic itni zyada thi that I got super late,itni,URD
Traffic itni zyada thi that I got super late,zyada,URD
Traffic itni zyada thi that I got super late,thi,URD
Traffic itni zyada thi that I got super late,that,ENG
Traffic itni zyada thi that I got super late,I,ENG
Traffic itni zyada thi that I got super late,got,ENG
Traffic itni zyada thi that I got super late,super,ENG
Traffic itni zyada thi that I got super late,late,ENG
Ab tou bas ek hi option bacha hai,Ab,URD
Ab tou bas ek hi option bacha hai,tou,URD
Ab tou bas ek hi option bacha hai,bas,URD
Ab tou bas ek hi option bacha hai,ek,URD
Ab tou bas ek hi option bacha hai,hi,URD
Ab tou bas ek hi option bacha hai,option,ENG
Ab tou bas ek hi option bacha hai,bacha,URD
Ab tou bas ek hi option bacha hai,hai,URD
Mera mood bilkul off hai aaj kal,Mera,URD
Mera mood bilkul off hai aaj kal,mood,ENG
Mera mood bilkul off hai aaj kal,bilkul,URD
Mera mood bilkul off hai aaj kal,off,ENG
Mera mood bilkul off hai aaj kal,hai,URD
Mera mood bilkul off hai aaj kal,aaj,URD
Mera mood bilkul off hai aaj kal,kal,URD
Kabhi kabhi lagta hai ke life is just unfair,Kabhi,URD
Kabhi kabhi lagta hai ke life is just unfair,kabhi,URD
Kabhi kabhi lagta hai ke life is just unfair,lagta,URD
Kabhi kabhi lagta hai ke life is just unfair,hai,URD
Kabhi kabhi lagta hai ke life is just unfair,ke,URD
Kabhi kabhi lagta hai ke life is just unfair,life,ENG
Kabhi kabhi lagta hai ke life is just unfair,is,ENG
Kabhi kabhi lagta hai ke life is just unfair,just,ENG
Kabhi kabhi lagta hai ke life is just unfair,unfair,ENG
Aap please thora patience rakhein its almost done,Aap,URD
Aap please thora patience rakhein its almost done,please,ENG
Aap please thora patience rakhein its almost done,thora,URD
Aap please thora patience rakhein its almost done,patience,ENG
Aap please thora patience rakhein its almost done,rakhein,URD
Aap please thora patience rakhein its almost done,its,ENG
Aap please thora patience rakhein its almost done,almost,ENG
Aap please thora patience rakhein its almost done,done,ENG
Mujhe office se late reply mila tha yesterday,Mujhe,URD
Mujhe office se late reply mila tha yesterday,office,ENG
Mujhe office se late reply mila tha yesterday,se,URD
Mujhe office se late reply mila tha yesterday,late,ENG
Mujhe office se late reply mila tha yesterday,reply,ENG
Mujhe office se late reply mila tha yesterday,mila,URD
Mujhe office se late reply mila tha yesterday,tha,URD
Mujhe office se late reply mila tha yesterday,yesterday,ENG
Yeh internet ka connection bohot slow hai aaj,Yeh,URD
Yeh internet ka connection bohot slow hai aaj,internet,MIX
Yeh internet ka connection bohot slow hai aaj,ka,URD
Yeh internet ka connection bohot slow hai aaj,connection,ENG
Yeh internet ka connection bohot slow hai aaj,bohot,URD
Yeh internet ka connection bohot slow hai aaj,slow,ENG
Yeh internet ka connection bohot slow hai aaj,hai,URD
Yeh internet ka connection bohot slow hai aaj,aaj,URD
I really need thora break warna pagal ho jaunga,I,ENG
I really need thora break warna pagal ho jaunga,really,ENG
I really need thora break warna pagal ho jaunga,need,ENG
I really need thora break warna pagal ho jaunga,thora,URD
I really need thora break warna pagal ho jaunga,break,ENG
I really need thora break warna pagal ho jaunga,warna,URD
I really need thora break warna pagal ho jaunga,pagal,URD
I really need thora break warna pagal ho jaunga,ho,URD
I really need thora break warna pagal ho jaunga,jaunga,URD
Kal raat neend hi nahi aayi thi properly,Kal,URD
Kal raat neend hi nahi aayi thi properly,raat,URD
Kal raat neend hi nahi aayi thi properly,neend,URD
Kal raat neend hi nahi aayi thi properly,hi,URD
Kal raat neend hi nahi aayi thi properly,nahi,URD
Kal raat neend hi nahi aayi thi properly,aayi,URD
Kal raat neend hi nahi aayi thi properly,thi,URD
Kal raat neend hi nahi aayi thi properly,properly,ENG
Excited hoon for this weekend trip yaar,Excited,ENG
Excited hoon for this weekend trip yaar,hoon,URD
Excited hoon for this weekend trip yaar,for,ENG
Excited hoon for this weekend trip yaar,this,ENG
Excited hoon for this weekend trip yaar,weekend,ENG
Excited hoon for this weekend trip yaar,trip,ENG
Excited hoon for this weekend trip yaar,yaar,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,Mujhe,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,abhi,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,bhi,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,believe,ENG
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,nahi,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,ho,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,raha,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,ke,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,ye,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,sach,URD
Mujhe abhi bhi believe nahi ho raha ke ye sach hai,hai,URD
Ap ka message dekha but I forgot to reply,Ap,URD
Ap ka message dekha but I forgot to reply,ka,URD
Ap ka message dekha but I forgot to reply,message,ENG
Ap ka message dekha but I forgot to reply,dekha,URD
Ap ka message dekha but I forgot to reply,but,ENG
Ap ka message dekha but I forgot to reply,I,ENG
Ap ka message dekha but I forgot to reply,forgot,ENG
Ap ka message dekha but I forgot to reply,to,ENG
Ap ka message dekha but I forgot to reply,reply,ENG
Zara wait karo main bas coming hoon,Zara,URD
Zara wait karo main bas coming hoon,wait,ENG
Zara wait karo main bas coming hoon,karo,URD
Zara wait karo main bas coming hoon,main,URD
Zara wait karo main bas coming hoon,bas,URD
Zara wait karo main bas coming hoon,coming,ENG
Zara wait karo main bas coming hoon,hoon,URD
Itni garmi hai I can barely breathe outside,Itni,URD
Itni garmi hai I can barely breathe outside,garmi,URD
Itni garmi hai I can barely breathe outside,hai,URD
Itni garmi hai I can barely breathe outside,I,ENG
Itni garmi hai I can barely breathe outside,can,ENG
Itni garmi hai I can barely breathe outside,barely,ENG
Itni garmi hai I can barely breathe outside,breathe,ENG
Itni garmi hai I can barely breathe outside,outside,ENG
Mera data khatam ho gaya call nahi kar sakta,Mera,URD
Mera data khatam ho gaya call nahi kar sakta,data,MIX
Mera data khatam ho gaya call nahi kar sakta,khatam,URD
Mera data khatam ho gaya call nahi kar sakta,ho,URD
Mera data khatam ho gaya call nahi kar sakta,gaya,URD
Mera data khatam ho gaya call nahi kar sakta,call,ENG
Mera data khatam ho gaya call nahi kar sakta,nahi,URD
Mera data khatam ho gaya call nahi kar sakta,kar,URD
Mera data khatam ho gaya call nahi kar sakta,sakta,URD
Yaar exam ka result aa gaya I am so relieved,Yaar,URD
Yaar exam ka result aa gaya I am so relieved,exam,ENG
Yaar exam ka result aa gaya I am so relieved,ka,URD
Yaar exam ka result aa gaya I am so relieved,result,ENG
Yaar exam ka result aa gaya I am so relieved,aa,URD
Yaar exam ka result aa gaya I am so relieved,gaya,URD
Yaar exam ka result aa gaya I am so relieved,I,ENG
Yaar exam ka result aa gaya I am so relieved,am,ENG
Yaar exam ka result aa gaya I am so relieved,so,ENG
Yaar exam ka result aa gaya I am so relieved,relieved,ENG
Abhi mood nahi hai for anything honestly,Abhi,URD
Abhi mood nahi hai for anything honestly,mood,ENG
Abhi mood nahi hai for anything honestly,nahi,URD
Abhi mood nahi hai for anything honestly,hai,URD
Abhi mood nahi hai for anything honestly,for,ENG
Abhi mood nahi hai for anything honestly,anything,ENG
Abhi mood nahi hai for anything honestly,honestly,ENG
Kitni dair se wait kar rahi hoon tumhara,Kitni,URD
Kitni dair se wait kar rahi hoon tumhara,dair,URD
Kitni dair se wait kar rahi hoon tumhara,se,URD
Kitni dair se wait kar rahi hoon tumhara,wait,ENG
Kitni dair se wait kar rahi hoon tumhara,kar,URD
Kitni dair se wait kar rahi hoon tumhara,rahi,URD
Kitni dair se wait kar rahi hoon tumhara,hoon,URD
Kitni dair se wait kar rahi hoon tumhara,tumhara,URD
Bas thora sa focus karna hai final week hai ye,Bas,URD
Bas thora sa focus karna hai final week hai ye,thora,URD
Bas thora sa focus karna hai final week hai ye,sa,URD
Bas thora sa focus karna hai final week hai ye,focus,ENG
Bas thora sa focus karna hai final week hai ye,karna,URD
Bas thora sa focus karna hai final week hai ye,hai,URD
Bas thora sa focus karna hai final week hai ye,final,ENG
Bas thora sa focus karna hai final week hai ye,week,ENG
Bas thora sa focus karna hai final week hai ye,hai,URD
Bas thora sa focus karna hai final week hai ye,ye,URD
Mujhe lagta hai I should just sleep early tonight,Mujhe,URD
Mujhe lagta hai I should just sleep early tonight,lagta,URD
Mujhe lagta hai I should just sleep early tonight,hai,URD
Mujhe lagta hai I should just sleep early tonight,I,ENG
Mujhe lagta hai I should just sleep early tonight,should,ENG
Mujhe lagta hai I should just sleep early tonight,just,ENG
Mujhe lagta hai I should just sleep early tonight,sleep,ENG
Mujhe lagta hai I should just sleep early tonight,early,ENG
Mujhe lagta hai I should just sleep early tonight,tonight,ENG
Kaam se break lene ka time hi nahi milta,Kaam,URD
Kaam se break lene ka time hi nahi milta,se,URD
Kaam se break lene ka time hi nahi milta,break,ENG
Kaam se break lene ka time hi nahi milta,lene,URD
Kaam se break lene ka time hi nahi milta,ka,URD
Kaam se break lene ka time hi nahi milta,time,ENG
Kaam se break lene ka time hi nahi milta,hi,URD
Kaam se break lene ka time hi nahi milta,nahi,URD
Kaam se break lene ka time hi nahi milta,milta,URD
I think humein plan change karna chahiye ab,I,ENG
I think humein plan change karna chahiye ab,think,ENG
I think humein plan change karna chahiye ab,humein,URD
I think humein plan change karna chahiye ab,plan,ENG
I think humein plan change karna chahiye ab,change,ENG
I think humein plan change karna chahiye ab,karna,URD
I think humein plan change karna chahiye ab,chahiye,URD
I think humein plan change karna chahiye ab,ab,URD
Sab kuch theek ho jayega don't worry so much,Sab,URD
Sab kuch theek ho jayega don't worry so much,kuch,URD
Sab kuch theek ho jayega don't worry so much,theek,URD
Sab kuch theek ho jayega don't worry so much,ho,URD
Sab kuch theek ho jayega don't worry so much,jayega,URD
Sab kuch theek ho jayega don't worry so much,don't,ENG
Sab kuch theek ho jayega don't worry so much,worry,ENG
Sab kuch theek ho jayega don't worry so much,so,ENG
Sab kuch theek ho jayega don't worry so much,much,ENG
Mera laptop charge nahi ho raha kal se,Mera,URD
Mera laptop charge nahi ho raha kal se,laptop,ENG
Mera laptop charge nahi ho raha kal se,charge,ENG
Mera laptop charge nahi ho raha kal se,nahi,URD
Mera laptop charge nahi ho raha kal se,ho,URD
Mera laptop charge nahi ho raha kal se,raha,URD
Mera laptop charge nahi ho raha kal se,kal,URD
Mera laptop charge nahi ho raha kal se,se,URD
Are you free tonight muje kuch discuss karna tha,Are,ENG
Are you free tonight muje kuch discuss karna tha,you,ENG
Are you free tonight muje kuch discuss karna tha,free,ENG
Are you free tonight muje kuch discuss karna tha,tonight,ENG
Are you free tonight muje kuch discuss karna tha,muje,URD
Are you free tonight muje kuch discuss karna tha,kuch,URD
Are you free tonight muje kuch discuss karna tha,discuss,ENG
Are you free tonight muje kuch discuss karna tha,karna,URD
Are you free tonight muje kuch discuss karna tha,tha,URD
Yaar bohot mushkil se ye deadline meet ki hai,Yaar,URD
Yaar bohot mushkil se ye deadline meet ki hai,bohot,URD
Yaar bohot mushkil se ye deadline meet ki hai,mushkil,URD
Yaar bohot mushkil se ye deadline meet ki hai,se,URD
Yaar bohot mushkil se ye deadline meet ki hai,ye,URD
Yaar bohot mushkil se ye deadline meet ki hai,deadline,ENG
Yaar bohot mushkil se ye deadline meet ki hai,meet,ENG
Yaar bohot mushkil se ye deadline meet ki hai,ki,URD
Yaar bohot mushkil se ye deadline meet ki hai,hai,URD
Mummy ne kaha ke dinner ready hai jaldi aao,Mummy,URD
Mummy ne kaha ke dinner ready hai jaldi aao,ne,URD
Mummy ne kaha ke dinner ready hai jaldi aao,kaha,URD
Mummy ne kaha ke dinner ready hai jaldi aao,ke,URD
Mummy ne kaha ke dinner ready hai jaldi aao,dinner,ENG
Mummy ne kaha ke dinner ready hai jaldi aao,ready,ENG
Mummy ne kaha ke dinner ready hai jaldi aao,hai,URD
Mummy ne kaha ke dinner ready hai jaldi aao,jaldi,URD
Mummy ne kaha ke dinner ready hai jaldi aao,aao,URD
This weather itna suhana hai I want to go out,This,ENG
This weather itna suhana hai I want to go out,weather,ENG
This weather itna suhana hai I want to go out,itna,URD
This weather itna suhana hai I want to go out,suhana,URD
This weather itna suhana hai I want to go out,hai,URD
This weather itna suhana hai I want to go out,I,ENG
This weather itna suhana hai I want to go out,want,ENG
This weather itna suhana hai I want to go out,to,ENG
This weather itna suhana hai I want to go out,go,ENG
This weather itna suhana hai I want to go out,out,ENG
Kal se gym start kar raha hoon seriously this time,Kal,URD
Kal se gym start kar raha hoon seriously this time,se,URD
Kal se gym start kar raha hoon seriously this time,gym,ENG
Kal se gym start kar raha hoon seriously this time,start,ENG
Kal se gym start kar raha hoon seriously this time,kar,URD
Kal se gym start kar raha hoon seriously this time,raha,URD
Kal se gym start kar raha hoon seriously this time,hoon,URD
Kal se gym start kar raha hoon seriously this time,seriously,ENG
Kal se gym start kar raha hoon seriously this time,this,ENG
Kal se gym start kar raha hoon seriously this time,time,ENG
Mera mood bohot off hai kisi se baat nahi karni,Mera,URD
Mera mood bohot off hai kisi se baat nahi karni,mood,ENG
Mera mood bohot off hai kisi se baat nahi karni,bohot,URD
Mera mood bohot off hai kisi se baat nahi karni,off,ENG
Mera mood bohot off hai kisi se baat nahi karni,hai,URD
Mera mood bohot off hai kisi se baat nahi karni,kisi,URD
Mera mood bohot off hai kisi se baat nahi karni,se,URD
Mera mood bohot off hai kisi se baat nahi karni,baat,URD
Mera mood bohot off hai kisi se baat nahi karni,nahi,URD
Mera mood bohot off hai kisi se baat nahi karni,karni,URD
Itna sara kaam hai I don't even know where to start,Itna,URD
Itna sara kaam hai I don't even know where to start,sara,URD
Itna sara kaam hai I don't even know where to start,kaam,URD
Itna sara kaam hai I don't even know where to start,hai,URD
Itna sara kaam hai I don't even know where to start,I,ENG
Itna sara kaam hai I don't even know where to start,don't,ENG
Itna sara kaam hai I don't even know where to start,even,ENG
Itna sara kaam hai I don't even know where to start,know,ENG
Itna sara kaam hai I don't even know where to start,where,ENG
Itna sara kaam hai I don't even know where to start,to,ENG
Itna sara kaam hai I don't even know where to start,start,ENG
Chalo movie dekhne chalte hain aaj shaam ko,Chalo,URD
Chalo movie dekhne chalte hain aaj shaam ko,movie,ENG
Chalo movie dekhne chalte hain aaj shaam ko,dekhne,URD
Chalo movie dekhne chalte hain aaj shaam ko,chalte,URD
Chalo movie dekhne chalte hain aaj shaam ko,hain,URD
Chalo movie dekhne chalte hain aaj shaam ko,aaj,URD
Chalo movie dekhne chalte hain aaj shaam ko,shaam,URD
Chalo movie dekhne chalte hain aaj shaam ko,ko,URD
Mujhe abhi thora sa headache ho raha hai,Mujhe,URD
Mujhe abhi thora sa headache ho raha hai,abhi,URD
Mujhe abhi thora sa headache ho raha hai,thora,URD
Mujhe abhi thora sa headache ho raha hai,sa,URD
Mujhe abhi thora sa headache ho raha hai,headache,ENG
Mujhe abhi thora sa headache ho raha hai,ho,URD
Mujhe abhi thora sa headache ho raha hai,raha,URD
Mujhe abhi thora sa headache ho raha hai,hai,URD
I promise kal se sab kuch on time karunga,I,ENG
I promise kal se sab kuch on time karunga,promise,ENG
I promise kal se sab kuch on time karunga,kal,URD
I promise kal se sab kuch on time karunga,se,URD
I promise kal se sab kuch on time karunga,sab,URD
I promise kal se sab kuch on time karunga,kuch,URD
I promise kal se sab kuch on time karunga,on,ENG
I promise kal se sab kuch on time karunga,time,ENG
I promise kal se sab kuch on time karunga,karunga,URD
Yaar bill split kar lete hain equally,Yaar,URD
Yaar bill split kar lete hain equally,bill,ENG
Yaar bill split kar lete hain equally,split,ENG
Yaar bill split kar lete hain equally,kar,URD
Yaar bill split kar lete hain equally,lete,URD
Yaar bill split kar lete hain equally,hain,URD
Yaar bill split kar lete hain equally,equally,ENG
Uska attitude bilkul change ho gaya hai recently,Uska,URD
Uska attitude bilkul change ho gaya hai recently,attitude,ENG
Uska attitude bilkul change ho gaya hai recently,bilkul,URD
Uska attitude bilkul change ho gaya hai recently,change,ENG
Uska attitude bilkul change ho gaya hai recently,ho,URD
Uska attitude bilkul change ho gaya hai recently,gaya,URD
Uska attitude bilkul change ho gaya hai recently,hai,URD
Uska attitude bilkul change ho gaya hai recently,recently,ENG
Kal ka plan cancel ho gaya kuch kaam aa gaya,Kal,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,ka,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,plan,ENG
Kal ka plan cancel ho gaya kuch kaam aa gaya,cancel,ENG
Kal ka plan cancel ho gaya kuch kaam aa gaya,ho,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,gaya,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,kuch,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,kaam,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,aa,URD
Kal ka plan cancel ho gaya kuch kaam aa gaya,gaya,URD
Honestly speaking mujhe koi idea nahi hai,Honestly,ENG
Honestly speaking mujhe koi idea nahi hai,speaking,ENG
Honestly speaking mujhe koi idea nahi hai,mujhe,URD
Honestly speaking mujhe koi idea nahi hai,koi,URD
Honestly speaking mujhe koi idea nahi hai,idea,ENG
Honestly speaking mujhe koi idea nahi hai,nahi,URD
Honestly speaking mujhe koi idea nahi hai,hai,URD
Bhai mera internship confirm ho gaya finally,Bhai,URD
Bhai mera internship confirm ho gaya finally,mera,URD
Bhai mera internship confirm ho gaya finally,internship,ENG
Bhai mera internship confirm ho gaya finally,confirm,ENG
Bhai mera internship confirm ho gaya finally,ho,URD
Bhai mera internship confirm ho gaya finally,gaya,URD
Bhai mera internship confirm ho gaya finally,finally,ENG
Aajkal sab kuch online ho gaya hai even groceries,Aajkal,URD
Aajkal sab kuch online ho gaya hai even groceries,sab,URD
Aajkal sab kuch online ho gaya hai even groceries,kuch,URD
Aajkal sab kuch online ho gaya hai even groceries,online,ENG
Aajkal sab kuch online ho gaya hai even groceries,ho,URD
Aajkal sab kuch online ho gaya hai even groceries,gaya,URD
Aajkal sab kuch online ho gaya hai even groceries,hai,URD
Aajkal sab kuch online ho gaya hai even groceries,even,ENG
Aajkal sab kuch online ho gaya hai even groceries,groceries,ENG
I need to submit ye form kal tak,I,ENG
I need to submit ye form kal tak,need,ENG
I need to submit ye form kal tak,to,ENG
I need to submit ye form kal tak,submit,ENG
I need to submit ye form kal tak,ye,URD
I need to submit ye form kal tak,form,ENG
I need to submit ye form kal tak,kal,URD
I need to submit ye form kal tak,tak,URD
Ammi keh rahi thi ke early aa jao ghar,Ammi,URD
Ammi keh rahi thi ke early aa jao ghar,keh,URD
Ammi keh rahi thi ke early aa jao ghar,rahi,URD
